Run with txn_num: 1000, test_count: 50
max_txn_length: 2
=======================
Round: 11, Time: 13320ms, Checking Time: 508ms, Bug: Y , N_Count: 2413 , OK_Count: 1004, Abort Rate: 0.584
Round: 12, Time: 12649ms, Checking Time: 395ms, Bug: N , N_Count: 2451 , OK_Count: 1004, Abort Rate: 0.590
Round: 13, Time: 12981ms, Checking Time: 413ms, Bug: N , N_Count: 2480 , OK_Count: 1004, Abort Rate: 0.595
Round: 14, Time: 13004ms, Checking Time: 457ms, Bug: Y , N_Count: 2602 , OK_Count: 1009, Abort Rate: 0.612
Round: 15, Time: 13261ms, Checking Time: 580ms, Bug: Y , N_Count: 2633 , OK_Count: 1002, Abort Rate: 0.619
Round: 16, Time: 13208ms, Checking Time: 454ms, Bug: Y , N_Count: 2518 , OK_Count: 1005, Abort Rate: 0.601
Round: 17, Time: 12772ms, Checking Time: 476ms, Bug: Y , N_Count: 2482 , OK_Count: 1005, Abort Rate: 0.595
Round: 18, Time: 13421ms, Checking Time: 549ms, Bug: Y , N_Count: 2491 , OK_Count: 1003, Abort Rate: 0.597
Round: 19, Time: 13185ms, Checking Time: 479ms, Bug: Y , N_Count: 2442 , OK_Count: 1004, Abort Rate: 0.589
Round: 20, Time: 13165ms, Checking Time: 427ms, Bug: N , N_Count: 2494 , OK_Count: 1003, Abort Rate: 0.598
Round: 21, Time: 13264ms, Checking Time: 374ms, Bug: N , N_Count: 2565 , OK_Count: 1004, Abort Rate: 0.609
Round: 22, Time: 13188ms, Checking Time: 467ms, Bug: Y , N_Count: 2451 , OK_Count: 1006, Abort Rate: 0.590
Round: 23, Time: 12825ms, Checking Time: 471ms, Bug: Y , N_Count: 2394 , OK_Count: 1007, Abort Rate: 0.579
Round: 24, Time: 12897ms, Checking Time: 466ms, Bug: Y , N_Count: 2461 , OK_Count: 1005, Abort Rate: 0.592
Round: 25, Time: 13967ms, Checking Time: 472ms, Bug: Y , N_Count: 2483 , OK_Count: 1006, Abort Rate: 0.595
Round: 26, Time: 13195ms, Checking Time: 524ms, Bug: Y , N_Count: 2425 , OK_Count: 1004, Abort Rate: 0.586
Round: 27, Time: 13112ms, Checking Time: 527ms, Bug: Y , N_Count: 2416 , OK_Count: 1006, Abort Rate: 0.584
Round: 28, Time: 12892ms, Checking Time: 476ms, Bug: Y , N_Count: 2475 , OK_Count: 1004, Abort Rate: 0.594
Round: 29, Time: 13187ms, Checking Time: 421ms, Bug: N , N_Count: 2483 , OK_Count: 1005, Abort Rate: 0.595
Round: 30, Time: 14083ms, Checking Time: 386ms, Bug: N , N_Count: 2501 , OK_Count: 1007, Abort Rate: 0.597
Round: 31, Time: 13088ms, Checking Time: 426ms, Bug: N , N_Count: 2618 , OK_Count: 1003, Abort Rate: 0.617
Round: 32, Time: 12792ms, Checking Time: 472ms, Bug: N , N_Count: 2531 , OK_Count: 1011, Abort Rate: 0.601
Round: 33, Time: 12739ms, Checking Time: 490ms, Bug: Y , N_Count: 2405 , OK_Count: 1007, Abort Rate: 0.581
Round: 34, Time: 12968ms, Checking Time: 461ms, Bug: Y , N_Count: 2474 , OK_Count: 1003, Abort Rate: 0.595
