Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 50, Time: 77730ms, Checking Time: 783ms, Bug: N , N_Count: 5035 , OK_Count: 5001, Abort Rate: 0.007
=======================
Total Run Time: 4635359ms, Total Checking Time: 31787ms
Bug / Total: 23/50

max_txn_length: 8
=======================
Round: 1, Time: 93543ms, Checking Time: 586ms, Bug: N , N_Count: 2933 , OK_Count: 2901, Abort Rate: 0.011
Round: 2, Time: 108841ms, Checking Time: 353ms, Bug: N , N_Count: 1725 , OK_Count: 1687, Abort Rate: 0.022
Round: 3, Time: 79596ms, Checking Time: 549ms, Bug: N , N_Count: 2500 , OK_Count: 2461, Abort Rate: 0.016
Round: 4, Time: 94116ms, Checking Time: 657ms, Bug: N , N_Count: 3384 , OK_Count: 3351, Abort Rate: 0.010
Round: 5, Time: 80573ms, Checking Time: 473ms, Bug: N , N_Count: 1711 , OK_Count: 1675, Abort Rate: 0.021
Round: 6, Time: 97045ms, Checking Time: 533ms, Bug: N , N_Count: 3661 , OK_Count: 3628, Abort Rate: 0.009
Round: 7, Time: 111236ms, Checking Time: 604ms, Bug: Y , N_Count: 3198 , OK_Count: 3164, Abort Rate: 0.011
Round: 8, Time: 94730ms, Checking Time: 779ms, Bug: Y , N_Count: 2416 , OK_Count: 2383, Abort Rate: 0.014
Round: 9, Time: 94990ms, Checking Time: 845ms, Bug: N , N_Count: 3899 , OK_Count: 3865, Abort Rate: 0.009
Round: 10, Time: 96278ms, Checking Time: 638ms, Bug: N , N_Count: 2880 , OK_Count: 2844, Abort Rate: 0.013
Round: 11, Time: 80828ms, Checking Time: 663ms, Bug: N , N_Count: 2648 , OK_Count: 2617, Abort Rate: 0.012
Round: 12, Time: 97430ms, Checking Time: 2060ms, Bug: Y , N_Count: 2100 , OK_Count: 2065, Abort Rate: 0.017
Round: 13, Time: 93874ms, Checking Time: 504ms, Bug: N , N_Count: 2307 , OK_Count: 2271, Abort Rate: 0.016
Round: 14, Time: 95442ms, Checking Time: 610ms, Bug: N , N_Count: 2720 , OK_Count: 2683, Abort Rate: 0.014
Round: 15, Time: 95431ms, Checking Time: 563ms, Bug: N , N_Count: 3008 , OK_Count: 2976, Abort Rate: 0.011
Round: 16, Time: 80240ms, Checking Time: 683ms, Bug: N , N_Count: 3096 , OK_Count: 3062, Abort Rate: 0.011
Round: 17, Time: 97020ms, Checking Time: 693ms, Bug: Y , N_Count: 2717 , OK_Count: 2680, Abort Rate: 0.014
Round: 18, Time: 108899ms, Checking Time: 560ms, Bug: Y , N_Count: 3021 , OK_Count: 2984, Abort Rate: 0.012
Round: 19, Time: 94192ms, Checking Time: 760ms, Bug: Y , N_Count: 3701 , OK_Count: 3669, Abort Rate: 0.009
Round: 20, Time: 80514ms, Checking Time: 557ms, Bug: N , N_Count: 2287 , OK_Count: 2250, Abort Rate: 0.016
Round: 21, Time: 80336ms, Checking Time: 680ms, Bug: Y , N_Count: 3652 , OK_Count: 3618, Abort Rate: 0.009
Round: 22, Time: 94746ms, Checking Time: 439ms, Bug: N , N_Count: 1608 , OK_Count: 1571, Abort Rate: 0.023
Round: 23, Time: 79823ms, Checking Time: 530ms, Bug: N , N_Count: 2982 , OK_Count: 2951, Abort Rate: 0.010
Round: 24, Time: 95117ms, Checking Time: 526ms, Bug: N , N_Count: 2640 , OK_Count: 2603, Abort Rate: 0.014
Round: 25, Time: 80028ms, Checking Time: 531ms, Bug: N , N_Count: 2698 , OK_Count: 2664, Abort Rate: 0.013
Round: 26, Time: 79573ms, Checking Time: 524ms, Bug: N , N_Count: 2861 , OK_Count: 2828, Abort Rate: 0.012
Round: 27, Time: 94382ms, Checking Time: 800ms, Bug: Y , N_Count: 3802 , OK_Count: 3770, Abort Rate: 0.008
Round: 28, Time: 79247ms, Checking Time: 475ms, Bug: N , N_Count: 2673 , OK_Count: 2640, Abort Rate: 0.012
Round: 29, Time: 96760ms, Checking Time: 965ms, Bug: Y , N_Count: 4506 , OK_Count: 4473, Abort Rate: 0.007
Round: 30, Time: 96329ms, Checking Time: 692ms, Bug: N , N_Count: 3757 , OK_Count: 3721, Abort Rate: 0.010
Round: 31, Time: 80474ms, Checking Time: 592ms, Bug: N , N_Count: 3317 , OK_Count: 3286, Abort Rate: 0.009
Round: 32, Time: 80467ms, Checking Time: 639ms, Bug: N , N_Count: 3297 , OK_Count: 3265, Abort Rate: 0.010
Round: 33, Time: 79886ms, Checking Time: 640ms, Bug: N , N_Count: 2740 , OK_Count: 2704, Abort Rate: 0.013
Round: 34, Time: 109771ms, Checking Time: 852ms, Bug: Y , N_Count: 4304 , OK_Count: 4269, Abort Rate: 0.008
Round: 35, Time: 95391ms, Checking Time: 572ms, Bug: N , N_Count: 3102 , OK_Count: 3068, Abort Rate: 0.011
Round: 36, Time: 79967ms, Checking Time: 799ms, Bug: Y , N_Count: 3766 , OK_Count: 3734, Abort Rate: 0.008
Round: 37, Time: 80710ms, Checking Time: 695ms, Bug: N , N_Count: 2953 , OK_Count: 2922, Abort Rate: 0.010
Round: 38, Time: 95768ms, Checking Time: 596ms, Bug: N , N_Count: 3728 , OK_Count: 3692, Abort Rate: 0.010
Round: 39, Time: 79947ms, Checking Time: 478ms, Bug: N , N_Count: 2056 , OK_Count: 2022, Abort Rate: 0.017
Round: 40, Time: 80843ms, Checking Time: 746ms, Bug: Y , N_Count: 3535 , OK_Count: 3504, Abort Rate: 0.009
Round: 41, Time: 79922ms, Checking Time: 752ms, Bug: Y , N_Count: 3643 , OK_Count: 3611, Abort Rate: 0.009
Round: 42, Time: 80995ms, Checking Time: 543ms, Bug: N , N_Count: 2531 , OK_Count: 2492, Abort Rate: 0.015
Round: 43, Time: 96164ms, Checking Time: 646ms, Bug: Y , N_Count: 1902 , OK_Count: 1867, Abort Rate: 0.018
Round: 44, Time: 108392ms, Checking Time: 519ms, Bug: N , N_Count: 3050 , OK_Count: 3013, Abort Rate: 0.012
Round: 45, Time: 93219ms, Checking Time: 460ms, Bug: N , N_Count: 2240 , OK_Count: 2207, Abort Rate: 0.015
Round: 46, Time: 81179ms, Checking Time: 1106ms, Bug: Y , N_Count: 3895 , OK_Count: 3863, Abort Rate: 0.008
Round: 47, Time: 95898ms, Checking Time: 618ms, Bug: N , N_Count: 3052 , OK_Count: 3018, Abort Rate: 0.011
Round: 48, Time: 108120ms, Checking Time: 411ms, Bug: N , N_Count: 2160 , OK_Count: 2126, Abort Rate: 0.016
Round: 49, Time: 95528ms, Checking Time: 568ms, Bug: N , N_Count: 2623 , OK_Count: 2589, Abort Rate: 0.013
Round: 50, Time: 82314ms, Checking Time: 2845ms, Bug: Y , N_Count: 2240 , OK_Count: 2205, Abort Rate: 0.016
=======================
Total Run Time: 4536114ms, Total Checking Time: 34909ms
Bug / Total: 16/50

max_txn_length: 10
=======================
Round: 1, Time: 79929ms, Checking Time: 611ms, Bug: N , N_Count: 2519 , OK_Count: 2487, Abort Rate: 0.013
Round: 2, Time: 94277ms, Checking Time: 709ms, Bug: N , N_Count: 3365 , OK_Count: 3331, Abort Rate: 0.010
Round: 3, Time: 81798ms, Checking Time: 542ms, Bug: Y , N_Count: 2487 , OK_Count: 2452, Abort Rate: 0.014
Round: 4, Time: 79687ms, Checking Time: 601ms, Bug: N , N_Count: 2601 , OK_Count: 2570, Abort Rate: 0.012
Round: 5, Time: 80219ms, Checking Time: 605ms, Bug: Y , N_Count: 2431 , OK_Count: 2398, Abort Rate: 0.014
Round: 6, Time: 80683ms, Checking Time: 581ms, Bug: N , N_Count: 2651 , OK_Count: 2618, Abort Rate: 0.012
Round: 7, Time: 81116ms, Checking Time: 538ms, Bug: N , N_Count: 2474 , OK_Count: 2439, Abort Rate: 0.014
Round: 8, Time: 79871ms, Checking Time: 616ms, Bug: N , N_Count: 2953 , OK_Count: 2919, Abort Rate: 0.012
