Run with txn_num: 3000, test_count: 50
max_txn_length: 2
=======================
Round: 24, Time: 50870ms, Checking Time: 2249ms, Bug: N , N_Count: 15819 , OK_Count: 3097, Abort Rate: 0.804
Round: 25, Time: 45520ms, Checking Time: 1750ms, Bug: Y , N_Count: 13636 , OK_Count: 3097, Abort Rate: 0.773
Round: 26, Time: 54745ms, Checking Time: 2290ms, Bug: N , N_Count: 14636 , OK_Count: 3091, Abort Rate: 0.789
Round: 27, Time: 43979ms, Checking Time: 1823ms, Bug: Y , N_Count: 12220 , OK_Count: 3098, Abort Rate: 0.746
Round: 28, Time: 42495ms, Checking Time: 1680ms, Bug: N , N_Count: 13525 , OK_Count: 3095, Abort Rate: 0.771
Round: 29, Time: 52829ms, Checking Time: 1872ms, Bug: Y , N_Count: 13064 , OK_Count: 3098, Abort Rate: 0.763
Round: 30, Time: 36134ms, Checking Time: 1548ms, Bug: Y , N_Count: 10639 , OK_Count: 3098, Abort Rate: 0.709
Round: 31, Time: 50143ms, Checking Time: 1693ms, Bug: Y , N_Count: 11472 , OK_Count: 3098, Abort Rate: 0.730
Round: 32, Time: 46562ms, Checking Time: 1703ms, Bug: Y , N_Count: 11959 , OK_Count: 3095, Abort Rate: 0.741
Round: 33, Time: 43974ms, Checking Time: 1806ms, Bug: Y , N_Count: 12445 , OK_Count: 3098, Abort Rate: 0.751
Round: 34, Time: 67808ms, Checking Time: 2005ms, Bug: N , N_Count: 15244 , OK_Count: 3095, Abort Rate: 0.797
Round: 35, Time: 45566ms, Checking Time: 1763ms, Bug: N , N_Count: 13297 , OK_Count: 3098, Abort Rate: 0.767
Round: 36, Time: 38667ms, Checking Time: 1917ms, Bug: Y , N_Count: 12056 , OK_Count: 3092, Abort Rate: 0.744
Round: 37, Time: 44397ms, Checking Time: 1722ms, Bug: N , N_Count: 12356 , OK_Count: 3098, Abort Rate: 0.749
Round: 38, Time: 47907ms, Checking Time: 1907ms, Bug: N , N_Count: 12588 , OK_Count: 3097, Abort Rate: 0.754
Round: 39, Time: 50560ms, Checking Time: 2086ms, Bug: Y , N_Count: 14005 , OK_Count: 3098, Abort Rate: 0.779
Round: 40, Time: 58625ms, Checking Time: 1815ms, Bug: N , N_Count: 12421 , OK_Count: 3098, Abort Rate: 0.751
Round: 41, Time: 48640ms, Checking Time: 1863ms, Bug: N , N_Count: 14181 , OK_Count: 3098, Abort Rate: 0.782
Round: 42, Time: 47617ms, Checking Time: 1835ms, Bug: N , N_Count: 14909 , OK_Count: 3098, Abort Rate: 0.792
Round: 43, Time: 55289ms, Checking Time: 1714ms, Bug: N , N_Count: 13045 , OK_Count: 3097, Abort Rate: 0.763
Round: 44, Time: 53492ms, Checking Time: 2025ms, Bug: N , N_Count: 14999 , OK_Count: 3098, Abort Rate: 0.793
Round: 45, Time: 54151ms, Checking Time: 2039ms, Bug: Y , N_Count: 14547 , OK_Count: 3097, Abort Rate: 0.787
Round: 46, Time: 43565ms, Checking Time: 1636ms, Bug: Y , N_Count: 11641 , OK_Count: 3098, Abort Rate: 0.734
Round: 47, Time: 57721ms, Checking Time: 1662ms, Bug: N , N_Count: 13968 , OK_Count: 3090, Abort Rate: 0.779
Round: 48, Time: 43950ms, Checking Time: 1853ms, Bug: Y , N_Count: 13223 , OK_Count: 3098, Abort Rate: 0.766
Round: 49, Time: 43656ms, Checking Time: 1679ms, Bug: Y , N_Count: 13532 , OK_Count: 3097, Abort Rate: 0.771
Round: 50, Time: 48363ms, Checking Time: 2154ms, Bug: Y , N_Count: 15001 , OK_Count: 3096, Abort Rate: 0.794
=======================
Total Run Time: 2451486ms, Total Checking Time: 91125ms
Bug / Total: 23/50

max_txn_length: 6
=======================
Round: 1, Time: 96297ms, Checking Time: 2652ms, Bug: Y , N_Count: 23942 , OK_Count: 3098, Abort Rate: 0.871
Round: 2, Time: 64831ms, Checking Time: 3227ms, Bug: N , N_Count: 21698 , OK_Count: 3098, Abort Rate: 0.857
Round: 3, Time: 61385ms, Checking Time: 2772ms, Bug: Y , N_Count: 20193 , OK_Count: 3098, Abort Rate: 0.847
Round: 4, Time: 70139ms, Checking Time: 2722ms, Bug: Y , N_Count: 19171 , OK_Count: 3098, Abort Rate: 0.838
Round: 5, Time: 89748ms, Checking Time: 3602ms, Bug: Y , N_Count: 23602 , OK_Count: 3098, Abort Rate: 0.869
Round: 6, Time: 70523ms, Checking Time: 2022ms, Bug: Y , N_Count: 18335 , OK_Count: 3097, Abort Rate: 0.831
Round: 7, Time: 62324ms, Checking Time: 2403ms, Bug: Y , N_Count: 19034 , OK_Count: 3098, Abort Rate: 0.837
Round: 8, Time: 91654ms, Checking Time: 2925ms, Bug: Y , N_Count: 22295 , OK_Count: 3098, Abort Rate: 0.861
Round: 9, Time: 56748ms, Checking Time: 2793ms, Bug: Y , N_Count: 19621 , OK_Count: 3098, Abort Rate: 0.842
Round: 10, Time: 63373ms, Checking Time: 2347ms, Bug: N , N_Count: 18006 , OK_Count: 3098, Abort Rate: 0.828
Round: 11, Time: 60546ms, Checking Time: 2487ms, Bug: N , N_Count: 18545 , OK_Count: 3097, Abort Rate: 0.833
Round: 12, Time: 56776ms, Checking Time: 2190ms, Bug: Y , N_Count: 16417 , OK_Count: 3096, Abort Rate: 0.811
Round: 13, Time: 62809ms, Checking Time: 2514ms, Bug: N , N_Count: 19645 , OK_Count: 3094, Abort Rate: 0.843
