r(9,30330,65,97)
r(8,30279,65,97)
w(8,30208,65,97)
w(9,30207,65,97)
r(9,30347,75,98)
w(9,30351,75,98)
r(8,30348,75,98)
w(8,30352,75,98)
r(9,30296,40,99)
r(7,30308,45,100)
r(8,30295,45,100)
r(8,30352,5,101)
w(8,30295,5,101)
r(9,30351,5,101)
w(9,30296,5,101)
r(9,30347,10,102)
r(8,30348,10,102)
r(9,30296,0,103)
r(8,30295,0,103)
w(9,30319,0,103)
w(8,30320,0,103)
r(7,30308,50,104)
r(9,30296,50,104)
w(7,30360,50,104)
r(4,30284,70,105)
r(7,30308,70,105)
w(4,30364,70,105)
r(9,30316,45,106)
w(9,30370,45,106)
r(7,30360,45,106)
r(9,30377,0,107)
w(9,30376,0,107)
r(8,30368,0,107)
r(7,30360,40,108)
r(8,30320,40,108)
w(8,30368,40,108)
r(2,0,5,109)
r(9,30319,5,109)
r(8,30368,10,110)
r(9,30319,80,111)
r(8,30320,80,111)
w(9,30316,80,111)
r(9,30370,50,112)
r(6,30341,50,112)
w(6,30378,50,112)
w(9,30377,50,112)
r(9,30386,60,113)
r(9,30386,60,113)
w(9,30321,60,113)
r(7,30360,0,114)
r(9,30365,0,114)
w(7,30385,0,114)
w(9,30386,0,114)
r(6,30378,5,115)
w(6,30387,5,115)
r(7,30385,45,116)
r(7,30385,45,116)
w(7,30383,45,116)
r(7,30360,15,117)
r(8,30368,15,117)
w(8,30200,15,117)
r(9,30376,75,118)
r(9,30376,75,118)
w(9,30365,75,118)
r(8,30200,10,119)
r(9,30386,10,119)
w(8,30390,10,119)
r(3,0,15,120)
w(3,30394,15,120)
r(9,30321,15,120)
r(7,30383,50,121)
w(7,30392,50,121)
r(7,30392,50,121)
r(9,30321,55,122)
w(9,30346,55,122)
r(7,30383,55,122)
r(4,30364,5,123)
w(4,30405,5,123)
r(8,30390,75,124)
w(8,30400,75,124)
r(7,30392,75,124)
r(4,30405,25,125)
r(9,30346,25,125)
w(9,30310,25,125)
w(4,30309,25,125)
r(7,30392,80,126)
w(7,30402,80,126)
r(9,30321,80,126)
r(9,30310,5,127)
w(9,30416,5,127)
r(6,30387,5,127)
r(8,30400,85,128)
w(8,30338,85,128)
r(8,30338,85,128)
r(7,30402,75,129)
w(7,30418,75,129)
r(7,30418,75,129)
r(9,30416,60,130)
r(8,30338,60,130)
w(9,30398,60,130)
r(9,30398,0,131)
r(8,30338,0,131)
w(9,30404,0,131)
r(8,30338,5,132)
r(9,30404,5,132)
w(9,30424,5,132)
r(9,30404,85,133)
r(6,30387,85,133)
w(6,30426,85,133)
r(9,30404,90,134)
r(8,30338,90,134)
w(8,30340,90,134)
r(6,30426,35,135)
r(9,30428,35,135)
w(9,30302,35,135)
w(6,30301,35,135)
r(9,30431,5,136)
w(9,30433,5,136)
r(9,30302,0,137)
r(9,30302,0,137)
w(9,30431,0,137)
r(8,30411,40,138)
r(8,30411,40,138)
w(8,30381,40,138)
r(8,30380,50,139)
w(8,30411,50,139)
r(8,30340,70,140)
w(8,30380,70,140)
r(9,30428,70,140)
r(7,30418,35,141)
r(9,30433,35,141)
w(7,30438,35,141)
r(9,30424,75,142)
w(9,30428,75,142)
r(7,30418,75,142)
r(6,30301,5,143)
r(8,30381,5,143)
w(6,30442,5,143)
r(5,30211,85,144)
r(5,30211,85,144)
w(5,30435,85,144)
r(9,30413,40,145)
w(9,30443,40,145)
r(9,30433,55,146)
r(8,30381,55,146)
w(8,30414,55,146)
w(9,30413,55,146)
r(8,30325,55,147)
r(5,30451,55,147)
w(8,30458,55,147)
r(7,30438,70,148)
w(7,30447,70,148)
r(9,30453,5,149)
r(8,30325,5,149)
w(9,30460,5,149)
r(5,30435,75,150)
r(5,30435,75,150)
w(5,30451,75,150)
r(9,30326,35,151)
r(9,30326,35,151)
w(9,30453,35,151)
r(8,30414,30,152)
r(9,30443,30,152)
w(8,30285,30,152)
w(9,30286,30,152)
r(5,30451,40,153)
w(5,30461,40,153)
r(2,0,40,153)
w(2,30462,40,153)
r(8,30285,20,154)
r(9,30286,20,154)
w(8,30325,20,154)
w(9,30326,20,154)
r(8,30414,50,155)
r(9,30443,50,155)
r(9,30460,45,156)
r(7,30447,45,156)
w(7,30396,45,156)
w(9,30395,45,156)
r(9,30395,65,157)
r(9,30395,65,157)
w(9,30361,65,157)
r(8,30458,5,158)
r(7,30396,5,158)
w(8,30469,5,158)
w(7,30470,5,158)
r(6,30442,55,159)
w(6,30464,55,159)
r(6,30464,55,159)
r(3,30394,70,160)
r(7,30470,65,161)
w(7,30473,65,161)
r(9,30361,10,162)
w(9,30407,10,162)
r(8,30458,75,163)
r(8,30469,45,164)
r(7,30473,45,164)
w(7,30484,45,164)
r(8,30478,55,165)
w(8,30487,55,165)
r(9,30407,50,166)
r(8,30487,50,166)
w(9,30472,50,166)
r(7,30473,40,167)
r(7,30473,30,168)
r(8,30469,30,168)
w(8,30478,30,168)
r(3,30394,5,169)
r(3,30394,5,169)
